No.,word,名詞,動詞,形容詞,副詞,前置詞,接続詞
64,able,,,～できる,,,
65,already,,,,すでに,,
66,delivery,配達,,,,,
67,different,,,異なる,,,
68,director,部長・役員,,,,,
69,equipment,設備,,,,,
70,few,,,少ない,少し,,
71,find,,~を見つける,,,,
72,near,,,近い,近く,～の近く,
73,since,,,,以来,～以来,～なので
74,early,,,早い,早く,,
75,until,,,,,～まで,
76,attend,,~に出席する,,,,
77,complete,,~を完了する,完全な,完全に,,
78,president,社長,,,,,
79,experience,経験,~を経験する,,,,
80,price,価格,,,,,
81,welcome,歓迎,~を歓迎する,歓迎の,,,
82,design,デザイン・設計,~をデザインする・～を設計する,デザインの,,,
83,marketing,マーケティング,,マーケティングの,,,
84,policy,政策・方針,,,,,
85,account,口座・勘定,,,,,
86,award,賞,~を授与する,,,,
87,flight,フライト・便,,,,,
88,through,,,,,～を通して,
89,charge,料金・請求,~を請求する,,,,
90,construction,建設,,建設の,,,
91,performance,実績・性能,,,,,
92,position,職位・位置,,,,,
93,repair,修理,~を修理する,,,,
94,announce,,~を発表する,,,,
95,plan,計画,~を計画する,,,,
96,arrive,,到着する,,,,
97,budget,予算,,予算の,,,
98,end,終わり,終わる,終わりの,,,
99,quantity,量,,,,,
100,contract,契約,~と契約する,契約の,,,
101,include,,~を含む,,,,
102,survey,調査,~を調査する,,,,
103,trip,旅行,,,,,
104,merchandise,商品,,,,,
105,shipping,配送,,配送の,,,
106,earn,,~を稼ぐ,,,,
107,additional,,,追加の,,,
108,another,,,もう一つの,,,
109,possible,,,可能な,おそらく,,
110,proposal,提案,,,,,
111,public,,,公の,公に,,
112,still,,,,まだ,,
113,submit,,~を提出する,,,,
114,such,,,そのような,そのように,,
115,move,移動・引っ越し,移動する・～を動かす,,,,
116,really,,,,本当に,,
117,whole,,,全体の,まるごと,,
118,sincerely,,,,敬具,,
119,cost,費用,~がかかる,,,,
120,present,現在・贈り物,~を贈る・出席する,現在の,現在,,
121,hurry,急ぎ,急ぐ,,急いで,,
122,within,,,,,～以内に,
123,bring,,~を持ってくる,,,,
124,fee,料金,,,,,
125,notice,お知らせ・注意,~に気づく,,,,
126,sign,サイン・標識,~に署名する,,,,
127,suggest,,~を提案する,,,,
128,while,,,,その間,,～の間
129,yet,,,,まだ・しかし,,
130,probably,,,,おそらく,,
131,close,,~を閉める,近い,近く,,
132,discuss,,~について話し合う,,,,
133,opinion,意見,,,,,
134,interview,面接,~に面接する,,,,
135,maintenance,メンテナンス,,,,,
136,mention,,~に言及する,,,,
137,address,住所・演説,~に話しかける・～に対処する,,,,
138,found,,~を見つけた,,,,
139,however,,,,しかし,,
140,increase,増加,増加する・～を増やす,,,,
141,later,,,後で,後で,,
142,series,シリーズ,,,,,
143,transportation,交通手段,,,,,
144,annual,,,年間の,毎年,,
145,application,応募・申請・アプリ,,,,,
146,detail,詳細,,詳細な,詳しく,,
147,passenger,乗客,,,,,
148,supervisor,上司・監督者,,,,,
149,access,アクセス・利用,~にアクセスする,,,,
150,decide,,~を決定する,,,,
151,financial,,,財政的な,,,
152,forward,,,前方の,前へ,,
153,concern,心配・懸念,~を心配させる,,,,
154,popular,,,人気のある,,,
155,presentation,プレゼンテーション,,,,,
156,qualification,資格,,,,,
157,recommend,,～を推薦する,,,,
158,reservation,予約,,,,,
159,garden,庭,,,,,
160,hire,採用,～を採用する,,,,
161,please,,～を喜ばせる,,どうか,,
162,resource,資源,,,,,
163,workshop,ワークショップ,,,,,
164,both,,,両方の,両方とも,,～と～
165,community,地域社会,,地域社会の,,,
166,confirm,,～を確認する,,,,
167,due,締め切り,,期限が来た,,,
168,facility,施設,,,,,
169,fulfill,,～を満たす,,,,
170,interest,興味・利子,～に興味を持たせる,興味深い,,,
171,laboratory,研究所,,,,,
172,own,自分自身の,～を所有する,自分自身の,,,
173,previous,,,前の,,,
174,promptly,,,,迅速に,,
175,resident,居住者,,居住している,,,
176,security,安全・警備,,安全な,安全に,,
177,vehicle,車両,,,,,
178,board,委員会・掲示板,～に乗る,,,,
179,career,職業・経歴,,,,,
180,clothing,衣類,,,,,
181,credit,信用・クレジット,,,,,
182,describe,,～を説明する,,,,
183,focus,焦点,～に焦点を当てる,焦点の合った,,,
184,identification,身分証明,,,,,
185,international,,,国際的な,国際的に,,
186,revise,,～を修正する,,,,
187,register,登録簿,～を登録する,,,,
188,upcoming,,,今後の,,,
189,update,最新情報,～を更新する,最新の,,,
190,approximately,,,,おおよそ,,
191,currently,,,現在の,現在,,
192,crowded,,,混雑した,,,
193,safety,安全,,安全な,安全に,,
194,selection,選択,,,,,
195,bulletin,掲示,,,,,
196,feature,特徴,～を特徴づける,,,,
197,instrument,器具・楽器,,,,,
198,join,,～に参加する,,,,
199,leave,休暇・出発,～を去る・～を残す,,,,
200,plant,植物・工場,～を植える,,,,
201,require,,～を必要とする,必須の,,,
202,short,,,短い,短く,,
203,tell,,～に話す・～を伝える,,,,
204,campaign,キャンペーン,,,,,
205,collection,コレクション・収集,,,,,
206,document,書類,,,,,
207,expect,,～を期待する,,,,
208,least,,,最小の,少なくとも,,
209,membership,会員資格,,,,,
210,publish,,～を出版する,,,,
211,rent,賃貸料,～を賃借りする,,,,
212,voucher,引換券,,,,,
213,actually,,,,実際に,,
214,arrange,,～を手配する,,,,
215,care,注意・世話,～を気にする・世話をする,注意深い,注意深く,,
216,create,,～を創造する,,,,
217,explain,,～を説明する,,,,
218,field,分野・畑,,,,,
219,deadline,締め切り,,,,,
220,important,,,重要な,,,
221,once,,,一度,一度,,いったん～すると
222,pay,給料・支払い,～を支払う,,,,
223,quite,,,かなり,かなり,,
224,opposite,,,反対の,反対に,,
225,though,,,,,,～だけれども
226,along,,,,～に沿って,,
227,assist,,～を助ける,,,,
228,based,,,～に基づいた,,,
229,between,,,,,～の間に,
230,beverage,飲料,,,,,
231,enough,,,十分な,十分に,,
232,extra,,,余分な,余分に,,
233,guide,ガイド・案内書,～を案内する,,,,
234,introduce,,～を紹介する,,,,
235,investment,投資,～を投資する,,,,
236,issue,問題・発行,～を発行する,,,,
237,limited,,,限られた,,,
238,pick,,～を選ぶ・拾う,,,,
239,prepare,,～を準備する,,,,
240,ready,,,用意ができた,準備ができて,,
241,replace,,～を取り替える,,,,
242,together,,,,一緒に,,
243,variety,多様性,,さまざまな,,,
244,warranty,保証,,,,,
245,attach,,～を添付する,,,,
246,furthermore,,,,さらに,,
247,exhibit,展示品,～を展示する,,,,
248,finish,終わり,～を終える,終わりの,,,
249,fuel,燃料,,,,,
250,install,,～を設置する,,,,
251,medical,,,医療の,,,
252,opportunity,機会,,,,,
253,past,過去,,過去の,過去に,,
254,profit,利益,,,,,
255,process,過程・処理,～を処理する,,,,
256,promote,,～を昇進させる・～を促進する,,,,
257,celebration,お祝い,,,,,
258,choose,,～を選ぶ,,,,
259,code,コード・符号,,,,,
260,corporate,,,企業の,,,
261,delay,遅延,～を遅らせる,遅れた,,,
262,display,展示・表示,～を展示する・表示する,,,,
263,ensure,,～を保証する,,,,
264,excellent,,,素晴らしい,,,
265,expense,費用,,,,,
266,express,急行,～を表現する,急行の,急いで,,
267,factory,工場,,,,,
268,firm,会社,,,,,
269,idea,アイデア,,,,,
270,immediately,,,,すぐに,,
271,latest,,,最新の,,,
272,mainly,,,,主に,,
273,matter,問題・事柄,～は重要である,,,,
274,monthly,,,月々の,毎月,,
275,obtain,,～を得る,,,,
276,personnel,人事,,人事の,,,
277,rate,割合・料金,,,,,
278,stock,在庫・株,,,,,
279,supply,供給,～を供給する,供給の,,,
280,suppose,,～だと思う,,,,
281,traffic,交通,,,,,
282,accurate,,,正確な,正確に,,
283,across,,,,～を横切って,,
284,agent,代理人,,,,,
285,always,,,,いつも,,
286,failure,失敗,,,,,
287,easily,,,,簡単に,,
288,occur,,起こる,,,,
289,regular,,,定期的な,定期的に,,
290,remind,,～に思い出させる,,,,
291,representative,代表者,,代表的な,,,
292,successful,,,成功した,,,
293,under,,,,,～の下に,
294,according,,,,～によれば,,
295,committee,委員会,,,,,
296,consider,,～を考慮する,,,,
297,damage,損害,～に損害を与える,損害の,,,
298,blame,非難,～を非難する,,,,
299,development,開発・発展,,開発の・発展の,,,
300,effective,,,効果的な,効果的に,,
301,postpone,,～を延期する,,,,
302,information,情報,,,,,
303,participate,,～に参加する,,,,
304,prefer,,～を好む,好みの,,,
305,professional,,,専門的な,専門的に,,
306,property,不動産・財産,,,,,
307,rather,,,,むしろ,,
308,reception,受付・歓迎会,,,,,
309,remain,,残る,残りの,,,
310,written,,,書かれた,,,
311,wrong,,,間違った,間違って,,
312,accept,,～を受け入れる,,,,
313,advice,助言,,,,,
314,banquet,宴会,,,,,
315,colleague,同僚,,,,,
316,convenient,,,便利な,便利に,,
317,convention,会議・慣習,,,,,
318,fine,罰金,,素晴らしい・元気な,元気に・細かく,,
319,follow,,～に従う,次の,,,
320,highly,,,,非常に,,
321,industry,産業,,産業の,,,
322,instead,,,,代わりに,,
323,instruction,指示,,指示の,,,
324,major,,,主要な,主に,,
325,manual,手引書,,手動の,手動で,,
326,manufacturing,製造業,,製造の,,,
327,personal,,,個人的な,個人的に,,
328,praise,称賛,～を称賛する,,,,
329,press,報道・出版,～を押す,,,,
330,remove,,～を取り除く,,,,
331,retirement,退職,,退職の,,,
332,throughout,,,,～の間じゅう,,
333,usually,,,,たいてい,,
334,answer,答え,～に答える,,,,
335,attention,注意,,,,,
336,briefly,,,,簡潔に,,
337,cancel,,～をキャンセルする,,,,
338,ignore,,～を無視する,,,,
339,feedback,フィードバック,,,,,
340,guideline,指針,,,,,
341,organize,,～を組織する,,,,
342,outstanding,,,傑出した,,,
343,recognition,認識・表彰,,,,,
344,run,経営・走行,走る・～を経営する,,,,
345,shelf,棚,,,,,
346,specific,,,特定の,具体的に,,
347,standard,基準,,標準的な,標準的に,,
348,state,状態・州,～を述べる,,,,
349,storage,保管・貯蔵,,保管の,,,
350,temporary,,,一時的な,一時的に,,
351,appreciate,,～に感謝する,,,,
352,associate,関係者・同僚,～を関連付ける,関連した,,,
353,audience,聴衆,,,,,
354,brochure,パンフレット,,,,,
355,candidate,候補者,,,,,
356,despite,,,,,～にもかかわらず,
357,enclosed,,,同封された,,,
358,executive,幹部,,幹部の,,,
359,figure,数字・図,～を理解する・～を計算する,,,,
360,filing,書類整理,,,,,
361,final,,,最終的な,最終的に,,
362,healthcare,医療,,医療の,,,
363,innovative,,,革新的な,,,
364,intend,,～を意図する,,,,
365,invite,,～を招待する,,,,
366,necessary,,,必要な,,,
367,platform,プラットフォーム,,,,,
368,practice,練習・慣習,～を練習する,実践的な,,,
369,reason,理由,,,,,
370,skill,技術・技能,,,,,
371,tool,道具,,,,,
372,trade,貿易・取引,～を取引する,貿易の,,,
373,whether,,,,,,～かどうか
374,worth,価値,,価値がある,,,
375,acquisition,買収,,,,,
376,advance,前進・進歩,～を進める,事前の,前もって,,
377,agenda,議題,,,,,
378,author,著者,,,,,
379,complex,,,複雑な,,,
380,condition,状態・条件,,,,,
381,continue,,～を続ける,,,,
382,efficient,,,効率的な,効率的に,,
383,entrance,入口,,,,,
384,further,,,さらなる,さらに,,
385,lead,リード・主導,～を導く・主導する,主要な,,,
386,often,,,,しばしば,,
387,patient,患者,,我慢強い,,,
388,procedure,手順,,,,,
389,quickly,,,,素早く,,
390,regarding,,,,～に関して,,
391,regional,,,地域の,,,
392,respond,,～に返信する,,,,
393,share,共有・株,～を共有する,,,,
394,unfortunately,,,,残念ながら,,
395,TRUE,,,本当の,本当に,,
396,apologize,,謝る,,,,
397,bill,請求書,～に請求する,,,,
398,carefully,,,注意深く,注意深く,,
399,case,場合・事例,,,,,
400,cover,カバー・覆い,～を覆う・～を扱う,,,,
401,deposit,預金・保証金,～を預ける,,,,
402,except,,,,～を除いて,,
403,expert,専門家,,専門的な,,,
404,extremely,,,,極めて,,
405,familiar,,,よく知られた,,,
406,force,力,～を強いる,,,,
407,grant,助成金・許可,～を与える・許可する,,,,
408,headquarters,本社,,,,,
409,outdoors,,,屋外の,屋外で,,
410,plenty,たくさん,,十分な,たくさん,,
411,quarter,四半期,,,,,
412,refund,払い戻し,～を払い戻す,,,,
413,serve,,～に仕える・～を提供する,,,,
414,specialize,,～を専門とする,専門の,,,
415,technical,,,技術的な,技術的に,,
416,term,用語・期間,,,,,
417,unique,,,独特の,,,
418,advantage,利点,,,,,
419,almost,,,,ほとんど,,
420,approve,,～を承認する,,,,
421,assign,,～を割り当てる,,,,
422,branch,支店・枝,,,,,
423,cause,原因,～を引き起こす,,,,
424,ceremony,式典,,,,,
425,funding,資金調達,,,,,
426,garage,車庫,,,,,
427,glad,,,嬉しい,,,
428,impress,,～に印象を与える,印象的な,,,
429,indicate,,～を示す,,,,
430,relocate,,移転する,,,,
431,manuscript,原稿,,,,,
432,merger,合併,,,,,
433,option,選択肢,,,,,
434,record,記録・記録物,～を記録する,記録的な,,,
435,reduce,,～を減らす,,,,
436,result,結果,～に終わる,結果として起こる,,,
437,satisfy,,～を満足させる,満足した,,,
438,spend,,～を使う・費やす,,,,
439,urban,,,都市の,,,
440,accommodate,,～を収容する・～に対応する,,,,
441,admission,入場・入会,,,,,
442,allow,,～を許す,,,,
443,among,,,,,～の中に,
444,baggage,手荷物,,,,,
445,claim,主張・請求,～を主張する・請求する,,,,
446,demand,需要・要求,～を要求する,,,,
447,encourage,,～を励ます,,,,
448,frequently,,,,頻繁に,,
449,inspection,検査,,,,,
450,operation,運営・操作,～を操作する,操作の,,,
451,patronage,愛顧,,,,,
452,ride,乗車,～に乗る,,,,
453,shuttle,シャトル便,,,,,
454,solution,解決策,,,,,
455,acclaim,称賛,～を称賛する,,,,
456,administration,管理・運営,,管理の,,,
457,appliance,電化製品,,,,,
458,appropriate,,,適切な,適切に,,
459,avoid,,～を避ける,,,,
460,battery,電池,,,,,
461,booth,ブース・小屋,,,,,
462,certificate,証明書,,,,,
463,cuisine,料理,,,,,
464,cupboard,食器棚,,,,,
465,defective,,,欠陥のある,,,
466,entertainment,エンターテイメント,,,,,
467,exercise,運動・練習,～を運動する・練習する,,,,
468,expand,,～を拡大する,,,,
469,flexible,,,柔軟な,,,
470,general,,,一般的な,一般的に,,
471,hope,希望,～を望む,,,,
472,improve,,～を改善する,,,,
473,inquire,,～に問い合わせる,,,,
474,inventory,在庫,,,,,
475,invoice,請求書,～に請求書を送る,,,,
476,insist,,～を主張する,,,,
477,lately,,,,最近,,
478,legal,,,法的な,,,
479,missing,,,見当たらない,,,
480,monitor,モニター・監視装置,～を監視する,,,,
481,original,,,元の,元々,,
482,perfect,,,完璧な,完璧に,,
483,positive,,,肯定的な,肯定的に,,
484,precisely,,,,正確に,,
485,predict,,～を予測する,,,,
486,reach,,～に達する,,,,
487,reference,照会・参考文献,,,,,
488,refreshment,軽食,,,,,
489,renovation,改装,,,,,
490,responsible,,,責任のある,,,
491,retail,小売,,小売の,小売で,,
492,sink,流し台,,,,,
493,stairs,階段,,,,,
494,subscription,定期購読,,,,,
495,transition,移行,～を移行する,移行の,,,
496,utensil,台所用品,,,,,
497,valid,,,有効な,,,
498,without,,,,,～なしで,
499,afraid,,,恐れて,,,
500,agree,,～に同意する,,,,
501,anniversary,記念日,,,,,
502,business,ビジネス・事業,,ビジネスの,,,
503,comfortable,,,快適な,快適に,,
504,complimentary,,,無料の,,,
505,consumer,消費者,,消費者の,,,
506,contain,,～を含む,,,,
507,division,部門,,,,,
508,especially,,,,特に,,
509,extensive,,,広範囲の,,,
510,famous,,,有名な,,,
511,guarantee,保証,～を保証する,,,,
512,ingredient,材料,,,,,
513,launch,開始・発売,～を開始する・発売する,,,,
514,modern,,,現代的な,,,
515,notify,,～に通知する,,,,
516,potential,可能性,,潜在的な,潜在的に,,
517,prevent,,～を防ぐ,,,,
518,prior,,,事前の,,,
519,prospective,,,見込みのある,,,
520,remember,,～を覚えている,,,,
521,renew,,～を更新する,,,,
522,reputation,評判,,,,,
523,rest,休憩・残り,休む,残りの,,,
524,separate,,～を分ける,別々の,別々に,,
525,strictly,,,,厳密に,,
526,suitable,,,適切な,,,
527,therefore,,,,したがって,,
528,transfer,転勤・移動,～を転勤させる・移動させる,,,,
529,ahead,,,,前方に・先に,,
530,amount,量,,,,,
531,appear,,現れる,,,,
532,architecture,建築・構造,,建築の,,,
533,below,,,下の,下に,,
534,break,休憩・破損,壊れる・～を壊す,,,,
535,browse,,閲覧する,,,,
536,catering,ケータリング,,ケータリングの,,,
537,central,,,中央の,中央に,,
538,century,世紀,,,,,
539,chief,長・主任,,主要な,,,
540,common,,,一般的な,一般的に,,
541,competition,競争,,競争の,,,
542,confident,,,自信のある,自信を持って,,
543,consultant,コンサルタント,,,,,
544,correctly,,,,正しく,,
545,council,議会,,,,,
546,deal,取引,～を扱う,,,,
547,designate,,～を指定する,指定された,,,
548,duty,義務,,,,,
549,durable,,,耐久性のある,,,
550,dramatic,,,劇的な,劇的に,,
551,eager,,,熱心な,,,
552,eligible,,,資格のある,,,
553,environmentally,,,環境に優しい,環境的に,,
554,essential,,,不可欠な,,,
555,estimate,見積もり,～を見積もる,,,,
556,former,,,以前の,,,
557,grocery,食料品,,,,,
558,growth,成長,,成長の,,,
559,individual,個人,,個人の,個別に,,
560,institute,研究所・協会,,,,,
561,itinerary,旅程,,,,,
562,material,材料,,材料の,,,
563,mayor,市長,,,,,
564,meal,食事,,,,,
565,method,方法,,,,,
566,newsletter,ニュースレター,,,,,
567,otherwise,,,,さもなければ,,
568,particular,,,特定の,特に,,
569,raise,昇給・育成,～を上げる・育てる,,,,
570,regulation,規制,,規制の,,,
571,reimbursement,払い戻し,～を払い戻す,,,,
572,release,発売・公開,～を発売する・公開する,,,,
573,remodel,改装,～を改装する,,,,
574,shift,シフト・交代,～を移す・交代する,,,,
575,simply,,,,単に,,
576,stationery,文房具,,,,,
577,strategy,戦略,,戦略的な,,,
578,track,追跡・線路,～を追跡する,,,,
579,traditional,,,伝統的な,伝統的に,,
580,valuable,,,貴重な,,,
581,via,,,,～経由で,,
582,analysis,分析,～を分析する,,,,
583,behind,,,後ろの,後ろに,,
584,bureau,局,,,,,
585,concierge,コンシェルジュ,,,,,
586,conduct,行為・実施,～を行う・実施する,,,,
587,enroll,,～に入会する・登録する,,,,
588,fix,修理・固定,～を修理する・固定する,,,,
589,similar,,,似た,同様に,,
590,afford,,～を買う余裕がある,,,,
591,assume,,～を仮定する,,,,
592,average,平均,～を平均する,平均の,平均して,,
593,behalf,,,,～を代表して,,
594,commercial,,,商業的な,商業的に,,
595,donation,寄付,～を寄付する,,,,
596,enthusiastic,,,熱狂的な,熱狂的に,,
597,evaluate,,～を評価する,,,,
598,fare,運賃,,,,,
599,luncheon,ランチョン,,,,,
600,modest,,,控えめな,,,
